question,answer
performed best with,IML-S1
preference,no preference
work with in future,IML-S1
performed best with,IML-S1
preference,H1
work with in future,IML-S1
performed best with,H1
preference,H1
work with in future,H1
performed best with,IML-S1
preference,IML-S1
work with in future,IML-S1
performed best with,IML-S1
preference,IML-S1
work with in future,IML-S1
performed best with,IML-S1
preference,IML-S1
work with in future,IML-S1
performed best with,IML-S1
preference,IML-S1
work with in future,IML-S1
performed best with,H1
preference,IML-S1
work with in future,IML-S1
performed best with,H1
preference,H1
work with in future,H1
